Code,forPNG,Latin name,Morphotyper,CodeMJ,Subfamily,Description,Note
PHEI 048,TRUE,"Pheidole sp. 48 aff. 022  ""bifurca clade""",Petr 2014/03,,Myrmicinae,"very close to PHEI 022- but smoother sides of thorax as PHEI 042, from the latter it differs by larger size, furcation of propodeal spines more visible with equal branches of the furca (not one being longer or furca not present), daker black colour, majors quite look the same as in sp. 042 except of more dotty and liny head on the bottom, darker blackish color and front spines directed more upwards (less curved forward)","Yawan, quite very close to sp. 042 from Mt.Wilhelm - should be barcoded to confirm sep. species clearly, Nichola marjked before as PHEI 022 but diff."
PHEI 049,TRUE,Pheidole sp. 49,Petr 2014/03,,Myrmicinae,"medium large Phei (2 mm) with only propodeum spines, brown colour with dotty sides of thorax, and lines well visible around antennal sockets and above eyes, eyes round, spines quite longer and going a bit outwards from dorsal view, reminds sp.38 from Mt.Wilhelm but much larger with longer spines, close also to sp. 45 and 60  as it also has sharper corners on frontal part of thorax (but not so sharp and has straight lines towards eyes)",Yawan
PHEI 050,TRUE,"Pheidole sericella Viehmeyer, 1914",Michal M.,,Myrmicinae,"similar to PHEI 019  but clearly bicolorated species with less pointed eye and softer lines above it, postpetiolus darker than petiolus (as in sp. 10) but also tiny dots on upper thorax, soldiers with lines on whole head (up to the occipital margin x diff. from other sim. species with soldiers, which have also smaller size moreover in minor caste) / great match of type photos on antweb",determined by M. Michlewicz
PHEI 051,TRUE,"Pheidole sp. 51 aff. distincta Donisthorpe, 1943",Michał M.,,Myrmicinae,"Very similar to PHEI 018 x minors have dotty clypeus without aparent straight medium line visible otherwise look the same, majors very diff. than  sp. 18-  have whole head covered with sculpture, lacking the shining area above eyes (see frontal and lateral profile)",schould be confirmed yet by DNA if well dif.. from sp. 18 / Clouse paper on Micronesiua ants notes that severeal related/sibling sp. of this gr. exist
PHEI 052,FALSE,Pheidole sp. 52,Petr 2015/01,,Myrmicinae,"a large light brown Phei, very long propodeal and proth. curved spines plus sharply spiny humps on mesoth., very large eyes for Pheidole with lines around them","Jimmy Mosses, 700 m. Mt.Wilhelm"
PHEI 053,FALSE,Pheidole sp. 53,Petr 2015/01,,Myrmicinae,"resembles a bit sp. 52 by larger size and 4 spines and mesoth. sharp humps (same group?), but darger brown with dots on sides of thorax, shorter spines, and dotty head but smooth in the middle","Jimmy Mosses, 1700 m. Mt.Wilhelm"
PHEI 054,FALSE,Pheidole sp. 54 aff. 43,Petr 2015/03,,Myrmicinae,"minor w: small size sp.003/014, but lighter brown color, more dotty side of thorax, lot of lines around and above eyes and carinae going higher above eyes, close to sp. 43 but darker color and soldiers netty struture on top of head  / compared also to highland sp. 38,44,45 but those larger with different lining on head and shape of eyes, all also dotty sides of thorax without smoother patches. Majors similar shape of head and lines all over frontal view as of sp. 38 but netty structure on top frons. Compared to sp. 8 gr. majors does not have any extended head-flanges","Jimmy Mosses, 1200 m. Mt.Wilhelm"
PHEI 055,FALSE,"Pheidole sp. 55  aff. tricolor Donisthorpe, 1949",Petr 2015/03,,Myrmicinae,large Pheidole resmebling P.tricolor sp.35 (smooth with 4 long spines and rounder eye) but much larger in size and light brown with darker brown abd (not redish thorax),"Jimmy Mosses, 700 m. Mt.Wilhelm"
PHEI 056,FALSE,"Pheidole sp. 56  aff. sp. 22  ""bifurca clade""",Petr 2015/03,,Myrmicinae,large blackish sp. very close to sp. PHEI 022 (Wanang) and sp.48 (Yawan) but smooth thorax and longer spines with longer main branch on propodeum and one side branch shorter as in smaller sp.42 (but division much longer and well visible).,"Jimmy Mosses, 700 m. Mt.Wilhelm"
PHEI 057,FALSE,"Pheidole sp. 57 aff. elegans Donisthorpe, 1938",Petr 2015/03,,Myrmicinae,"very close to PHEI 047 with 4 spines and even thorax, x darker color, frontal spines shorter and going yet more outwards, posterior of head lacking wide margin with sharp corners (only narrow round neck as in most of Pheidole with two spines) and head is rounded on the top from frontal view, reminds P. elegans (antweb) but longer scapus and shorter frontal spines","Jimmy Mosses, 1700 m. Mt.Wilhelm"
---PHEI 058,FALSE,Pheidole sp. 58 - see LORD010,Petr 2015/03,,Myrmicinae,"resembles sp.18/51 (dotty sp. with only short prop. spines), but double size, less fine punctation and very different clypeus shape sharpened in  the middle, larger Lordomyrma-kind petiolus and 11 segm. antens (not 12-segm.), * On antweb fits with Lasiomyrma (novel genus for PNG but will be probably synonimesed to Lorodomyrma - vague genus).",NUMBA
PHEI 059,FALSE,"Pheidole cf. hercules Donisthorpe, 1941",Petr 2015/03,,Myrmicinae,"very large (size of PHEI052) with four spines, fine dots on sides of whole thorax but head smooth except of sine dots and lines near eyes, resembles PHEI022 but not bifurcated prop. spines and a bit larger / great match with P. hercules except glossy uper forns (x small dots in types - variable?)","Jimmy Mosses, 200 m. Mt.Wilhelm"
PHEI 060,FALSE,Pheidole sp. 60 cf. sp. 49,Petr 2015/03,,Myrmicinae,"medium size and dark-brown sp., high elevation, shorter spines also on prothorax  and dots on the head near eyes as sp. 49 ,, compared to sp. 49 the prothoracal corners are more visible and much sharper (as short spines), and only rounded lines above eyes opresent,  with more dots going above eyes (see frontal images of heads)","Jimmy Mosses, 2200 m. Mt.Wilhelm"
PHEI 061,FALSE,"Pheidole sp. 61   ""bifurca clade""",Justine,,Myrmicinae,"ligh color medium pheidole with four long spines (proth.+propodeum), compare to sp. 55 and 59 (relatively smooth but structure on head around eyes and dots on thorax lateraly), prop. spines slightly bifurcated","PHEIjj3New, 1700 m"
PHEI 062,TRUE,"Pheidole sexdentata Donisthorpe, 1948",Petr 2017/06,,Myrmicinae,"cf. sp. 25 and 30 (four spines plus mesoth. sharp corners with declivity and smnooth frons) x very smooth also thorax lateraly and whitish postpetiolus, lighter brown color, majors very distinct from sp.2/25/30 with spinose upper frons of head and deep declivity above eyes from lateral view",good match of minors with type photos (majors probably not described)
PHEI 063,FALSE,Pheidole sp. 63  sexspinosa sp. gr.,Petr 2017/07,,Myrmicinae,"sp. with 2 prop. spines plus sharp mesoth. corners with declivity behind them and very short spines in front (as sp. 2 - sexspinosa gr.), but very different sculpture of dotty body and head, on frons of the head also fine lines in addition to dots, + soldier reminds that one of sp. 2/30 but doty sides of thorax and of petiolus",
PHEI 064,FALSE,Pheidole sp. 64 aff. sp. 34,Petr 2017/07,,Myrmicinae,"very similar to sp. 34 but whole body dark brown (not distinctly yellow thorax), by this color pattern reminds also sp. 22 (but not bifuracted prop. spines as sp. 34)",
----PHEI 065,FALSE,"""Pheidole"" sp. 65 - SEE SYLL 001",Petr 2017/07,,Myrmicinae,"reminds Carebara/Solenopsis (dotty eye, no spines, small) but has clearly 3-segm club, clypeus and carinae reminds  Solenopsis. Not clear genus (Pheidole or Solen. perhaps? - but Solenopsis has well visibe eyes). !It is not Anisopheidole as diff. clypeus and even smaller eye.!",Wanang
PHEI 066,FALSE,Pheidole sp. 66 aff. 43,Petr 2018/06,,Myrmicinae,"minor light yellow with blackish abd, short spines, and broad heads, very close to sp. 43 - has also few lines present going above eyes up on frons and not smooth head, the same features except of darker color of abd., soldier similar color and lines going on head up to head margin, but compared to sp. 43 head shape of majors flat as in sp.1/28 from sides, not oval as in sp. 43. Nevertheless broadened shape and clypeus very close to so. 43 also in majors, majors also blackish abd. unlike sp. 43.","Exxon lowlands - probably new for coll. Dif.. From sp. 28,  yet to confirm once pinned and photografied-closests to sp.43 - small diff. shpuld be copnfirmed yet m olecularly if well different from this sp. (another part of PNG - kept sep. for now)"
PHEI 067,FALSE,Pheidole sp. 67 aff. 8,Petr 2018/06,,Myrmicinae,"dark brown minors with light yellow legs are very similar to sp. 3 and 14 (but scapus are longer than head margin), major very different-  with sharp flanges crossing clypeus in frontal view, and narrow head as major of sp. 8 (x but have more netty up of the head, smooth mandibles and also lines on cheeks unlike 8)",Exxon lowlands
PHEI 068,FALSE,"Pheidole sp. 68 aff. 22   ""bifurca clade""",Petr 2018/08,,Myrmicinae,"dark brown color, aff. sp. 22. - 1/3 smaller, less dots and not on upper propodeum, and propodeal furca spines have more even branching (in sp. 22 dorsal branch of furcal spine shorter)",lowland exxon cluster 7A
PHEI 069,FALSE,Pheidole sp. 69 aff. 67,Petr 2018/08,,Myrmicinae,"aff. sp. 67 but light color, not well visible lines above eyes in minors, soldiers have smaller flanges not crossing clypeus in frontal view and two waves on frontal clypeus are well developed (compare with frontal image of soldiers of sp. 67)",lowland exxon cluster 7A
PHEI 070,FALSE,Pheidole sp. 70 aff. 37,Petr 2018/10,,Myrmicinae,"sp.gr. with 6 spines, but with frontal and medium spines only as short sharp corners, + medium-length prop. straight spines, bigger size (over 2 mm in minors), head and sides of thorax all finy dots except thorax dorsum, cf.  sp. 37 (but that 1/3 smaller, without mid-spines - diff. gr.!?) + also to sp. 53 (but that 2x smaller in size and with smooth mid-frons).",Exxon 2200 m
PHEI 071,FALSE,Pheidole sp. 071 aff. 057,Petr 2018/10,,,"four spines, oval head, resembles sp. 57 but 1/3 larger and with declivity on mid-thorax (not even) and much longer scapus over head margin, reminds also sp. 35 but declivity on thorax less abrupt and darker color of thorax, tips of propodeal spines more curved (but not so much as in sp. 13)",Exxon 2200 m
PHEI 072,FALSE,Pheidole sp. 72 cf. 60,Petr 2018/10,,Myrmicinae,"sp. very close to sp. 49 and 60 - slight differences - more visible prothoracal corners than sp. 49 but not so sharp as in sp. 60, less scultpures and not liny sides of thorax and dots not going above eyes as in sp. 60, darker color of thorax than sp. 49 with organge legs (molecular data and majors of all 3 needed to resolve group of 49,60 and 72), major - six spines on thorax with shorter ones on mesonotum, very fine lines all over head up to upper frons and sides of thorax, small rounded eyes",Exxon 2000 m
PHEI 073,FALSE,Pheidole sp. 73 aff. sp. 51,Petr 2018/10,,Myrmicinae,"very close to sp. 51 (rather brown legs and scapus and no median line on clypeus) but has also smooth glossy patch on sides of the thorax in its frontal part compared to sp. 18 and 51!, other diff. to the two species:  few lines on frons in its middle (see frontal view) + dots on whole lateral side of petiolus (not only in its lower part)",Exxon 2000 m
PHEI 074,FALSE,Pheidole sp. 74 aff. sp. 49,Petr 2018/10,,Myrmicinae,"gr. of sp. 49,60 and 72 - compared to sp. 72 from the same site very dark black color inluding brownish legs and less robust thorax, closest to Yawan sp. 49 as it has also lines above eyes, but much darker and also has some dots near eye as sp. 72 (but not so many as in 60), prothoracal cornes rather less visible/sharp as in  sp. 49",Exxon 2000 m
PHEI 075,FALSE,"Pheidole sp. 75 aff. sp. 42  ""bifurca clade""",Petr 2018/10,,Myrmicinae,"very close to sp. 42  - no medial spines and smooth body and head, same body size (> 2 mm), but not observed individuals without fork (""second minor cast)""  and frontal head is not entirely mooth (slight dots/lines), also reminds sp. 68 by prop. spines from the same region but has no dots on thorax sides!",Exxon 2000 m
PHEI 076,FALSE,Pheidole sp. 076 aff. sp. 38,Petr 2018/10,,Myrmicinae,"medium sizes PHEI with short  sharp propodeal spines and brown color, dots on sides of petiolus + few lines and dots on sides of propodeum and mesothorax, lines and dots above eyes, and larger and darker than sp. 67 and sp. 3 complex, by size and head-frons reminds sp. 60 but does not have any sharp prothoracal spines and has dots on petiolus; another similar sp. is sp. 38 which also has dots on petiolus and on neck, but sp. 76 has no dots on dorsum of thorax and has shorter scapus; x sp. 54 it is larger and dots not all over lateral of propodeum",Exxon 2000 m
PHEI 077,FALSE,Pheidole sp. 77 aff. sp. 37,Petr 2019/02,,Myrmicinae,"medium size Pheidole of ""6 spines gr"", dark color, close to sp. 70 but frontal spines less abrubt and whole body with fine dotts incl. petiolus and head as e.g. sp. 73, compare sp. 70 it has nop evident sharp angle in mid-thorax like sp. 37 (but from 37 it differs in darker and dotty petiolus+ postpetiolus)","Exxon 1000 m, 3A"
PHEI 078,FALSE,"Pheidole viserion Sarnat, Fischer & Economo, 2016",Petr 2019/02,,Myrmicinae,"like phei 041 but light (orange) color, no straight lines on frons, and frontal spines a bit longer and less curved, soldiers also orange to oragne-bronw and have not smooth upper frons as drogon but fine lines going upwards and bending laterally accross the head anterior lobes, good fit with description of P. viserion","Exxon 430 m, 5A"
PHEI 079,FALSE,Pheidole sp. 79,Petr 2019/05,,Myrmicinae,"light color orange species with medium long prop. spines, no mid-spines/corners, and frontal sharp corners, rather large (over 2 mm), by size and color reminds sp. 24 gr., but by spines and size rather as sp. 77, diff. - smooth except few very fine lines on head and sides of thorax, longer scapus",Exxon 1400 m - 9A
PHEI 080,FALSE,Pheidole sp. 80 aff. 67,Petr 2019/05,,Myrmicinae,"minors reminds sp. 67 - brown with light legs, lines up to eye, dots on mid-thorax, with smooth patch there but is larger than sp. 67 as 81 (0.6 mm thorax lenght x 0.4 mm), compared to 81 and 45 it has few short lines near neck on top of the head and no dots near carinas, prop. spines very short!, majors transversal deep lines all over the head! (very different); also reminds sp. 45 from Madang province highlands, but that species has less lines around eyes and has slight anterior corners on thorax and darter scapus",Exxon 1400 m - 9A
PHEI 081,FALSE,Pheidole sp. 81 aff. sp. 67,Petr 2019/05,,Myrmicinae,"darker with light append., minor appearance close to sp. 67/69 but about 20% larger 0.5 mm thorax length), with slighlty longer/thinner prop. spines both in minors and majors,  lines around antenal carinas as in sp. 67 but also dots/scylpture near them, majors reminds by lines on head and light color sp. 69 but have long flanges as 67 (extend clypeal margin)","Exxon  1400 m 9A / - it could be variety of sp. 67 or a species among the 67/69 (but kept as separate for now as higher elevation, larger size and more pointed spines in both castes)"
PHEI 082,FALSE,Pheidole sp. 82 aff. tricolor,Petr 2019/06,,Myrmicinae,"close to tricolor (sp. 35) but much lighter legs and thorax (pale yellow) versus very black head and abdomen, both pairs of spines spines are longer and straight than in tricolor",Exxon lowlands 6A
PHEI 083,FALSE,"Pheidole sp. 83  aff. sp. 61  ""bifurca clade""",Petr 2019/08,,Myrmicinae,"relatively large Pheidole (thorax length about 1 mm), frontal spines plus propodeal spines, the latter are slightly bifurcated but not really branching as in sp. 61, dots on mid thorax except frontal part, fine lines over head, in this respect similar to sp. 61 but much darkewr in color, majors lines over head and spines on propodeum without furca","Exxon highlands, 1B"
PHEI 084,FALSE,Pheidole sp. 84 aff. sp. 54,Pavel 2021/03,,Myrmicinae,"only soldier - species from the gr. with two prop. spines, and longer flanges overe clypeus (sp. 8/19/63), based only on soldier cast - closest to major of sp. 54 but propodeum on sides and its top more glossy without many dots and fr. carinae partly smooth (with long lines mnot going over them as in sp. 54) and the flanges are prolonged over clypeus unlike in sp. 54",Numba - soldier only
PHEI 085,FALSE,"Pheidole sp. 85 aff. sexspinosa biroi Emery, 1900",Pavel 2021/05,,Myrmicinae,"only minor w, similar to sp. 30 - unusual as as addtional spiny corners between fr and medium spines (almost 8 spines on thorax!), head frons smooth",Numba
PHEI 086,FALSE,Pheidole sp. 86 aff. sp. 59,Petr 2022/11,,Myrmicinae,"large dark brown Phei with 4 spines resembling sp. 59 but dots over whole body including the woker head / soldier has scultpture of lines,dots and wrinklers all over the head but we lack soldier of sp. 59 to compare with",Baiteta
PHEI 087,FALSE,Pheidole sp. 87,Petr 2022/11,,Myrmicinae,"yelowish Phei with 4 very long curved spines and dots all over the body, cf. sp. 47 gr. with non circular head but straight upper frons fromfrontal view, but compared to this sp.light in color and with a fine sculpture over whole head and thorax",Baiteta
PHEI 088,FALSE,Pheidole sp. 88 aff. sp. 51,Petr 2022/11,,Myrmicinae,"workers and lines on clypeus rather as sp. 18 but also dots,majors as sp. 51 - todo high resol.photos and compare of novel or variance",Baiteta
----PHGT 001,FALSE,"Pheidologeton melanocephalum Donisthorpe, 1948 = CARE007",,?,Myrmicinae,"only 2segmented club, medium propodeal spines, smooth prothorax and head, dotty sides of thorax, very small eyes as Solenopsis, soldier smooth frons - should be affinis (good match with description and alex Wilds photos, majors have teeth on madibulas unlike melanocephalum)",
PHIL 001,TRUE,"Philidris cf. cordata (Smith F., 1859)",,,Dolichoderinae,"medium brown Dolichoderinae, variable in size, abdomen usually darker than lighter brown body, majors with large heads and concave upper head and darker abdomen, sometimes whole body darker brown in some nests (especially in very large majors), about 8 mandibular teeth only, smaller cast: still relatively larger than sp. 2 and 3 and it does not have so concave head and eyes more laterally (compare to larger cast and sp. 2 and 3)",
PHIL 002,TRUE,Philidris sp. 2 aff. 1,,,Dolichoderinae,"very similar to PHIL 001, but smaller with no majors in the nests and very light colour (not brown), much less  concave upper frons, much more teeths on mandibulas (about 12), queens have smaller head with smaller eyes than 001,compared the same size (smallest w) of cordata wider head with stoud hairs (apressed hairs lacking on head surface)",
PHIL 003,TRUE,Philidris sp. 3 aff. 1,,,Dolichoderinae,"size as PHIL 002 also without variation between workers (smaller than 001) and same size of eyes (n.facets) as 002, but colour darker with almost black abd. as in 001, concave head and also 8 mand. teeth, young  individuals can be light as phil 002 but look less hairy on propodeum with smaller heads,  mol. analysis (Jakub K.) confirmed well 3 sep. species, compare to smallest cast of sp. 1 it has still well concave head with eyes more in the middle.",
PHIL 004,FALSE,Philidris sp. 4 = SEE ANON015,Jerome,,Dolichoderinae,"Black color with brown front head! minors resemble Anonychomyrma sp.3 but small triangular petiolus, straigt hairs all over obody including petiolus, and mesonotal declivity also very long but even up to spiracle, + broad  head and dimorphism with large ""majors"" (as in Philidris), not really sure if Anon or Philidris, but according a key and available material closer to Philidris but having very dark color","Jerome Orivel, Mt.Wilhelm transect data/ in antweb closests to A.gilberti major photo (but this ""Phil"" has a much broader head)."
----PHIL 005,FALSE,Philidris sp. 5 = PHIL001,,,Dolichoderinae,"close to PHIL001 but from a very high elev. locality, light-yellow color all over as sp. 2, and much less hairy than Phil001-004, with only short few hairs except of long hairs located  up on prothorax area, medium sized individuals already with well cordated head",cordata confirmed by DNA also from higher elevation in Mt.Wilhelm
PHIL 006,FALSE,Philidris sp. 5 aff. 2,Phil 2021,,Dolichoderinae,"similar to PHIL 002, but gaster shiny black, strongly contrasting with yellow head and mesosoma",Numba
PLAG 001,TRUE,Plagiolepis sp. 1,,?,Formicinae,"small formicinae, brown, characteristic shape of prothorax, sharp small petiolus",
PLAG 002,TRUE,Plagiolepis sp. 2,Petr 2015/04,,Formicinae,different shape of thorax with hump in middle (not even from side view) compare to sp. 1 and larger eyes,"Numba, 700 m"
PLAT 001,FALSE,"Platythyrea parallela (Smith, F., 1859)",Petr 2014/03,?,Ponerinae,"medium sized ponerinae, smooth body with a few of dots on sides of thorax, head and first abdom.part, black with brown app., well separated pronotum with sharper corners, characteristic big and wide petiolus which is rounded (without spines, only right angle)",fits well with parallela photos of types
PLAT 002,TRUE,"Platythyrea quadridenta Donisthorpe, 1941",,?,Ponerinae,close to PLAT001 but wharp corners (almiost spines) on both petiolus and propodeum and smooth bopdy without any dots,fits well with P.quadridenta photos of types
PLAT 003,FALSE,Platythyrea sp. 3,Petr 2015/04,,Ponerinae,"a large Plat. of red-brown color and small eyes and smooth whole body, propodeum rounded (no spines) but petiolus is pointed in its back (no phoitos of such sp. on antweb)","Jimmy Mosses, 1200 m"
PODO 001,TRUE,"Podomyrma laevifrons  Smith F., 1859",,?,Myrmicinae,"large red brown species, 4 small spines on thorax, some individuals can have also sharper humps on propodeal area (almost like 3rd pair of spines)-probably variation within species, accessory spine bellow petiolus almost not visible and not sharp, more lines on clypeus and head except of sooth upper frons","W. Taylor: testacea=unior synonym of laevifrons, fix bug in check list!, compared also with gibulla, but diff. (gibulla got lowered propodeum with small spines posteriorly)"
PODO 002,FALSE,"Podomyrma sp. 2 aff. basalis Smith F., 1859",,?,Myrmicinae,"yellow front abdomen (patches up side, but sometimes less visible) and coxas, very small front spines on thorax, similar to MJ PODO 002, but no spines on petiolus and no so so deep grooves on the frons (not deep structure on the head), petiolus quite smooth without lines x  Podo sp.4","W.Taylor: similar to basalis group with yellow spot, but lacking dorsal spine on petiolus, likely undesribed sp."
PODO 003,TRUE,"Podomyrma sp. 3 aff. laevifrons  Smith F., 1859",,?,Myrmicinae,"similar to PODO 001, but has no apparent spines on mesothorax (only sharper corners), tiny sharp corners on propodeum usually not present, smoother head (less lines between eyes but also on upper frons, sharp accessory spine below petiolus always well visible, closest perhaps to P.gibulla but not very clear images (type photos miss lateral view and very light-colored old specimen - lines above eyes and on the head much deeper, so not clear if P. gibulla, probably not)","W.Taylor: very close to laevifrons (sp.1), but lacking spines on mesoth and propodeum, this is feature for laevissima  (but this sp. quite very different, very smooth and dark coloured), could be undescr. sp., also diff. in COI or P.gibulla"
PODO 004,TRUE,"Podomyrma basalis Smith F., 1859",,PODO 002?,Myrmicinae,"similar to PODO 002 (yellow upside of abdomen) with only pair of prothoracal spines, but 1 sharp add. spine on upper side of petiolus and larger, yellow spot always visible and deaper lines above eyes and on petiolus",
PODO 005,TRUE,"Podomyrma keysseri Viehmeyer, 1914",Nic,,Myrmicinae,"ery similar to PODO004, but with many more lines in the central portion of the face, and more distinct frontal triangle, abdomen and femure does not have distinct yellow color. Thorax with sculptured lines and a slightly smoother part on propodeum. Short sclerotised petiolar spine. Sometimes variability in size and sculpture:  young indiv. smoother head with not so apparent eyes","original sp. 005 is small and smooth compare to former sp. 006 - but likely variability within species (young nest of 1th generation of w): W. Taylor: fit very well with material except of lighter colour, material compared in ANIC also from a PNG and a 1700 m. locality"
---PODO 006,FALSE,Podomyrma sp. 6 = PODO 005,Nic,,Myrmicinae,"Very similar to PODO004, but with many more lines in the central portion of the face, and more distinct frontal triangle, abdomen and femure does not have distinct yellow color. Thorax with sculptured lines and a slightly smoother part on propodeum. Short sclerotised petiolar spine. Sometimes variability in size and sculpture:  young indiv. smoother head with not so apparent eyes",original sp. 005 is small and smooth compare to former sp. 006 - but likely variability within species (young nest of 1th generation of w)
PODO 007,FALSE,"Podomyrma cf. minor Donisthorpe, 1949",Petr,,Myrmicinae,"""unusual"" small Podomyrma 3 mm large, with no spines/sharp corners on thorax and petiolus!, except od small additional spine beneath anterior of petiolus, almost smooth except of soft lines on frons and sides of thorax, swollen femurs and thorax shape as in Podomyrmas.","very good fit with ant web photos, except more distinct coulours (dark brown head and abdomen, but orange brown thorax)"
PODO 008,FALSE,"Podomyrma sp. 8 aff. pulchella Donisthorpe, 1938",Petr,,Myrmicinae,"large size Podomyrma of black body axept of medium and dorsal part of head which is red brown, fits quite well wit P. pulchella except of colour pattern and more visible prothoracal spines and sharp corners on propodeum, posztpetiolus with deep lines","M. Leponce baits, W.Taylor ID as pulchella (but likely dif. sp. as our sp. dark half of head and lines on top of postpetiolus) / *Podomyrma ruficeps dohertyi  and P. pulchella looks the same in types (antweb = needs revision)"
PODO 009,TRUE,"Podomyrma silvicola Smith, 1860",Petr 2017/05,,Myrmicinae,"dark black medium sized sp., petiolus as sp. 4 but has also tiny spine tooth bellow postpetoilus, front view: deep lines on frons with wrinkles on the head sides, lines bellow eyes laterally, appendages dark brown (no organge spots)",Numba
PODO 010,TRUE,"Podomyrma gastralis Emery, 1897",Petr 2017/06,,Myrmicinae,"very close to sp. 8 but has yellowish half of abdomen dorsally and head and clypeus is whole light brown except of a bit darker vetrum of the head, very simialr sculpture/lines/spines except of less deep lines on postpetiolus",Numba
PODO 011,FALSE,Podomyrma sp. 11,Petr 2017/07,,Myrmicinae,"large Podomyrma with enlarged head (as P.pulchella sp. 8) but not blackish body and very smooth incl. head frons, compare to sp. 1and 3 has well developed small spines on all segments of thorax incl. propodeum and smooth petiolar segments",Wanang
PODO 012,FALSE,Podomyrma sp. 12 cf. sp. 9,Pavel 2021/03,,Myrmicinae,"very close to sp. 9 but a bit smaller, scapus longer (up to head margin from frontal view), smooth petiolus and postpetiolus witrh fine dots, color and pattern otherwise same as sp. 9, but has also small thee subpetiolar teeth (not one larger tooth), so put as separate morphospecies (possibly strange juvenil worker of sp. 9 but the moprhological charaters of antens+linemation+teeths imply a good species unless we would discover those indiv. also in sp. 9 nests+DNA would match)",Numba
PODO 013,FALSE,Podomyrma sp. 13 cf. sp. 3,Pavel 2021/03,,Myrmicinae,"reminds young smeller sp. 3 (HP0657) but much deeper lines over head and sharper longer subp. proccess and shorter prothoracal spines, propodeum rounded wihtout short corners (x sp. 1), by subpetiolar proccess, size and rounded propodeum also simialr to sp. 12 (9) from Numba but much lighter color and straight lines on the head, we have singleton only but likely novel species and not sp. 12 or 3",Numba
POLY 001,TRUE,"Polyrhachis (Myrmhopla) esuriens Emery, 1897 (sexspinosa-group)",,POLY 003,Formicinae,"big sp., hairy body and head (from gray to gold colour), red legs, red brown petiolus,  3 pairs of spines, propodeal spines going straight or slightly in direction to each other (variable, in some indiv. tips close to each other or on the contrary slightly outside-variab. )",det. R.Kohout
POLY 002,TRUE,"Polyrhachis (Myrma) sericata (Guérin-Méneville, 1838) (relucens-group)",,POLY 004,Formicinae,"black large sp., with lighter (golden) hairs on the head and abdomen, 2 spines on front thorax plus 2 on the petiolus, on meso- and metathorax only small rounded humps (not really sharp spines), propodeal angle abrupt (almost 90 degrrees x sp. 42)",det. R.Kohout
POLY 003,FALSE,"Polyrhachis (Myrmhopla) sp. nov. aff. saevissima Smith F., 1860 (tibialis sp. group)",,?,Formicinae,"smaller, black body, legs sometimes red colour (variable within one colony!-with red legs before as POLY 005) or darker, 4 long spines on thorax and 2 on petiolus (plus small 2 tiny sharp humps in the middle between them), very close to P.seavissima but less hairy and eyes more protruding sides of the head from frontal view as P.wheeleri (but compare to it more smooth head and upper thorax). Probably novel sp. related to these 2.",det. R. Kohout from photos - (sp. between saevissima and wheeleri but the first looks closer)
POLY 004,TRUE,"Polyrhachis (Cyrtomyrma) debilis Emery, 1887",,?,Formicinae,"smaller black,lgs usually also black, but occasionally brown tibia,  thorax: one pair of tiny spines (sharp corners) on propodeum only (always in queen, workers sometimes these spines missing-variability within nests), prothorax rounded and smooth; 4 tiny spines on petiolus / = in Numba very similar specimen as in Wanang but having a bit longer side spines on petiolus as 26, but not red legs and so glossy as that one, kept as sp. 4 for now)",det. R.Kohout
---POLY 005,FALSE,Polyrhachis sp. 3,,?,Formicinae,as 003 but red tibia (variability within sp.)-connected-it is very pobably one variable species!,
POLY 006,FALSE,"Polyrhachis (Myrmhopla) bubastes Smith F., 1863 (sexspinosa-group)",,?,Formicinae,"similar to POLY 001 group, black body and petiolus, red legs, thorax and head almost without hairs and deeply sculptured with lines and dents andf smaller size",det R. Kohout from photos
POLY 007,FALSE,"Polyrhachis (Myrma) biroi bidentata Stitz, 1912 (relucens-group)",,?,Formicinae,"similar to POLY 002 but smaller, less hairy, petiolus orange red brown with two longer corners on petiolus and 3 short (middle and bellow x POLY 022) and also upper part of abdomen red brown",probably only subsp. of POLY 022- biroi is synonymous name of rufofemorata-but taxonomically still valid name
POLY 008,TRUE,"Polyrhachis (Myrmatopa) alphea Smith F.,1863 (flavicornis-group)",,?,Formicinae,"larger sp., black body but brown abdomen and legs, large 2 spines on petiolus, only very small spines on prothorax, light yellow palps, front side of clypeus with two spines but more equal in the middle than POLY 010, smooth neck, Q may have additional small 2 spines in the middle of petiolus (but sometimes not or only like tiny humps-variable treat-can not be use for diff. from 010)",det. R.Kohout
POLY 009,TRUE,"Polyrhachis (Myrmothrinax) sp. nov.  aff. neptunus Smith F.,1865 (aequalis-group)",,?,Formicinae,"larger-medium sp., black head and thorax, brown abd., 2 small prothorax spines,  2 longer propodeal spines plus 3 spines on petiolus of similar length, Queen missing the small prothoracal spines (smooth prothorax)",det. R.Kohout - new underscribed species
POLY 010,TRUE,"Polyrhachis (Myrmatopa) luteogaster Kohout, 2012 (flavicornis-group)",,?,Formicinae,"very similar to POLY 008, but much lighter abdomen and legs (orange to red brown), front side of clypeus with two spines is much more incised in the middle than at 008 (both in Q and W), lines on the neck","det. R.Kohout, ""rufiventris group"", nom. nov. = formerly alphea rufiventris Emery"
